ADM0_PCODE,ADM0_EN,ADM0_KA,ADM1_PCODE,ADM1_EN,ADM1_KA,ADM2_PCODE,,ADM2_EN,ADM2_KA,ADM2TYPE_KA,ADM2TYPE_EN,POP_FINAL,PART,SIZE_KMSQ,DENSITY,HOPUSE_POP,HOPUSE_QTY,AVER_SIZE,POP_0_4,POP_5_9,POP_10_14,POP_15_19,POP_20_24,POP_25_29,POP_30_34,POP_35_39,POP_40_44,POP_45_49,POP_50_54,POP_55_59,POP_60_64,POP_65_69,POP_70_74,POP_75_79,POP_80_84,POP_85_MOR,POP_Total,M_0_4,M_5_9,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_MORE,M_Total,F_0_4,F_5_9,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_MORE,F_Total
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2644,1,Khoni,ხონის,municipaliteti,municipality,23552,0.7,429,54.9,"23,552","7,740",3,"1,438","1,082","1,104","1,243","1,432","1,481","1,346","1,438","1,536","1,597","1,873","1,759","1,670","1,160","1,122","1,242",644,403,"23,570",747,577,579,693,791,806,734,743,786,817,935,849,749,482,413,443,214,111,"11,469",691,505,525,550,641,675,612,695,750,780,938,910,921,678,709,799,430,292,"12,101"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2924,1,Akhmeta,ახმეტის,municipaliteti,municipality,31461,1,2208,14.2,"31,461","10,063",3,"2,254","1,965","2,061","1,976","2,076","2,083","1,742","1,832","1,921","1,884","2,198","2,015","1,860","1,483","1,294","1,479",849,489,"31,461","1,182","1,061","1,072","1,065","1,146","1,087",934,986,958,971,"1,123",969,839,671,525,578,328,137,"15,632","1,072",904,989,911,930,996,808,846,963,913,"1,075","1,046","1,021",812,769,901,521,352,"15,829"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2926,1,Gurjaani,გურჯაანის,municipaliteti,municipality,54321,1.7,846,64.2,"54,321","17,679",3,"3,153","2,921","2,590","2,643","2,905","3,292","3,217","3,190","3,480","3,396","4,293","4,665","3,838","3,254","2,187","2,829","1,541",943,"54,337","1,664","1,528","1,381","1,480","1,591","1,750","1,651","1,656","1,767","1,691","1,967","2,219","1,698","1,451",868,"1,087",598,305,"26,352","1,489","1,393","1,209","1,163","1,314","1,542","1,566","1,534","1,713","1,705","2,326","2,446","2,140","1,803","1,319","1,742",943,638,"27,985"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2928,1,Dedoplis Tskaro,დედოფლისწყაროს,municipaliteti,municipality,21221,0.6,2529,8.4,"21,221","7,412",3,"1,263","1,162","1,159","1,108","1,077","1,198","1,179","1,221","1,300","1,414","1,708","1,625","1,337","1,165",933,"1,161",712,499,"21,221",655,626,598,577,596,648,613,636,625,742,850,756,605,477,348,409,258,164,"10,183",608,536,561,531,481,550,566,585,675,672,858,869,732,688,585,752,454,335,"11,038"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2930,1,Telavi,თელავის,municipaliteti,municipality,38696,1.2,1095,35.3,"38,696","11,634",3,"2,436","2,138","1,994","2,137","2,638","2,630","2,490","2,384","2,555","2,260","2,918","2,885","2,619","2,040","1,461","1,714",881,541,"38,721","1,311","1,133","1,068","1,203","1,389","1,359","1,289","1,218","1,354","1,120","1,425","1,332","1,230",908,620,680,337,158,"19,134","1,125","1,005",926,934,"1,249","1,271","1,201","1,166","1,201","1,140","1,493","1,553","1,389","1,132",841,"1,034",544,383,"19,587"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2932,1,Lagodekhi,ლაგოდეხის,municipaliteti,municipality,41669,1.3,890.2,46.8,"41,669","12,660",3,"2,815","2,618","2,443","2,785","2,618","2,950","2,658","2,697","2,729","2,771","3,214","2,882","2,388","1,753","1,400","1,615",860,482,"41,678","1,534","1,418","1,303","1,522","1,435","1,584","1,334","1,421","1,385","1,418","1,555","1,408","1,124",745,587,688,328,164,"20,953","1,281","1,200","1,140","1,263","1,183","1,366","1,324","1,276","1,344","1,353","1,659","1,474","1,264","1,008",813,927,532,318,"20,725"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2934,1,Sagarejo,საგარეჯოს ,municipaliteti,municipality,51733,1.6,1491,34.7,"51,733","13,406",4,"3,882","3,566","3,152","3,237","3,738","3,864","3,608","3,463","3,305","3,230","3,517","3,313","2,739","2,176","1,452","1,813","1,022",684,"51,761","2,162","2,000","1,732","1,750","2,000","2,048","1,909","1,826","1,652","1,570","1,715","1,577","1,204",947,602,710,419,212,"26,035","1,720","1,566","1,420","1,487","1,738","1,816","1,699","1,637","1,653","1,660","1,802","1,736","1,535","1,229",850,"1,103",603,472,"25,726"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2936,1,Signagi,სიღნაღის,municipaliteti,municipality,29811,0.9,1252,23.8,"29,811","10,406",3,"1,563","1,442","1,453","1,455","1,520","1,631","1,634","1,794","1,870","1,804","2,371","2,400","2,197","1,817","1,494","1,891",973,639,"29,948",833,766,753,816,844,867,816,893,914,903,"1,101","1,043",975,764,630,698,368,185,"14,169",730,676,700,639,676,764,818,901,956,901,"1,270","1,357","1,222","1,053",864,"1,193",605,454,"15,779"
GE,Georgia,საქართველო,GE29,Kakheti,კახეთი,GE2938,1,Kvareli,ყვარლის,municipaliteti,municipality,29713,0.9,1000.8,29.7,"29,713","9,299",3,"1,852","1,591","1,472","1,705","1,855","1,975","1,775","1,770","1,891","1,869","2,460","2,355","2,036","1,550","1,181","1,284",784,422,"29,827",926,833,797,956,"1,007","1,088",932,848,966,913,"1,215","1,161",974,685,492,486,309,140,"14,728",926,758,675,749,848,887,843,922,925,956,"1,245","1,194","1,062",865,689,798,475,282,"15,099"
GE,Georgia,საქართველო,GE32,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE3225,1,Dusheti,დუშეთის მუნიციპალიტეტი,municipaliteti,municipality,25601,0.8,2981.5,8.6,"25,601","9,099",3,"1,419","1,359","1,323","1,498","1,573","1,538","1,415","1,591","1,695","1,708","1,813","1,679","1,581","1,297","1,370","1,477",833,490,"25,659",729,717,708,816,866,837,761,825,891,948,963,808,734,571,573,562,327,149,"12,785",690,642,615,682,707,701,654,766,804,760,850,871,847,726,797,915,506,341,"12,874"
GE,Georgia,საქართველო,GE32,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE3227,1,Tianeti,თიანეთის მუნიციპალიტეტი,municipaliteti,municipality,9468,0.3,906.3,10.4,"9,468","3,711",3,511,440,416,444,448,481,481,557,605,624,746,709,657,559,546,623,364,257,"9,468",250,217,215,261,257,267,265,315,362,354,418,383,340,251,223,239,133,78,"4,828",261,223,201,183,191,214,216,242,243,270,328,326,317,308,323,384,231,179,"4,640"
GE,Georgia,საქართველო,GE32,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE3229,1,Mtskheta,მცხეთის,municipaliteti,municipality,45735,1.4,668,68.5,"45,735","13,325",3,"3,334","2,812","2,361","2,938","3,787","3,922","3,587","3,194","3,102","3,173","3,528","2,987","2,506","1,745","1,563","1,755",949,468,"47,711","1,778","1,526","1,243","1,568","2,050","2,168","1,993","1,782","1,671","1,615","1,829","1,474","1,155",770,654,706,345,127,"24,454","1,556","1,286","1,118","1,370","1,737","1,754","1,594","1,412","1,431","1,558","1,699","1,513","1,351",975,909,"1,049",604,341,"23,257"
GE,Georgia,საქართველო,GE32,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE3231,1,Kazbegi,ყაზბეგის,municipaliteti,municipality,3749,0.1,1081.7,3.5,"3,749","1,405",3,221,203,180,172,182,229,243,258,301,275,280,239,294,212,215,157,89,45,"3,795",123,114,92,94,109,131,134,133,172,131,144,91,130,85,86,53,25,12,"1,859",98,89,88,78,73,98,109,125,129,144,136,148,164,127,129,104,64,33,"1,936"
GE,Georgia,საქართველო,GE35,Racha-Lechkhumi and Kvemo Svaneti ,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE3523,1,Ambrolauri,ამბროლაურის,municipaliteti,municipality,9139,0.3,1142,8,"9,139","3,950",2,303,289,338,322,270,378,325,419,530,619,728,739,789,650,759,873,511,297,"9,139",175,156,186,177,174,227,176,232,291,331,414,381,354,268,316,351,219,114,"4,542",128,133,152,145,96,151,149,187,239,288,314,358,435,382,443,522,292,183,"4,597"
GE,Georgia,საქართველო,GE35,Racha-Lechkhumi and Kvemo Svaneti ,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE3526,1,Lentekhi,ლენტეხის,municipaliteti,municipality,4386,0.1,1344,3.3,"4,386","1,543",3,224,217,259,265,177,193,209,258,288,308,307,331,335,265,244,243,158,105,"4,386",116,104,143,160,114,113,101,128,152,154,149,162,143,115,91,81,65,28,"2,119",108,113,116,105,63,80,108,130,136,154,158,169,192,150,153,162,93,77,"2,267"
GE,Georgia,საქართველო,GE35,Racha-Lechkhumi and Kvemo Svaneti ,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE3529,1,Oni,ონის,municipaliteti,municipality,6130,0.2,1712,3.6,"6,130","2,593",2,249,192,267,237,217,286,303,293,337,398,487,502,517,431,431,489,302,192,"6,130",125,89,137,125,136,156,175,169,169,207,241,231,218,187,174,183,123,49,"2,894",124,103,130,112,81,130,128,124,168,191,246,271,299,244,257,306,179,143,"3,236"
GE,Georgia,საქართველო,GE35,Racha-Lechkhumi and Kvemo Svaneti ,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE3531,1,Tsageri,ცაგერის ,municipaliteti,municipality,10379,0.3,756,13.7,"10,379","4,095",3,416,349,426,531,372,431,458,548,678,732,924,920,851,621,623,707,507,293,"10,387",210,176,215,288,219,257,254,283,373,392,484,449,414,249,249,276,192,90,"5,070",206,173,211,243,153,174,204,265,305,340,440,471,437,372,374,431,315,203,"5,317"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3814,1,Poti,ქ. ფოთი,kalaki,city,41465,1.3,65.8,630.2,"41,465","12,744",3,"2,730","2,599","2,367","2,208","2,365","3,088","3,152","3,215","2,906","2,767","3,122","2,975","2,681","1,771","1,311","1,249",616,343,"41,465","1,347","1,340","1,266","1,167","1,243","1,541","1,520","1,606","1,422","1,245","1,445","1,326","1,166",761,501,415,171,67,"19,549","1,383","1,259","1,101","1,041","1,122","1,547","1,632","1,609","1,484","1,522","1,677","1,649","1,515","1,010",810,834,445,276,"21,916"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3823,1,Abasha,აბაშის,municipaliteti,municipality,22337,0.7,323,69.2,"22,337","7,262",3,"1,196","1,097","1,186","1,149","1,102","1,169","1,289","1,474","1,544","1,598","1,721","1,597","1,686","1,303","1,090","1,187",536,417,"22,341",613,555,604,645,606,639,673,739,796,844,834,725,737,563,417,428,204,91,"10,713",583,542,582,504,496,530,616,735,748,754,887,872,949,740,673,759,332,326,"11,628"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3825,1,Zugdidi,ზუგდიდის ,municipaliteti,municipality,62504,1.9,668,93.6,"62,504","18,206",3,"3,768","3,435","3,062","3,533","3,833","4,165","4,200","4,164","3,935","4,418","5,029","4,698","4,243","3,010","2,578","2,388","1,269",783,"62,511","1,916","1,869","1,639","1,848","2,056","2,256","2,262","2,202","1,974","2,179","2,414","2,183","1,972","1,294","1,076",852,391,177,"30,560","1,852","1,566","1,423","1,685","1,777","1,909","1,938","1,962","1,961","2,239","2,615","2,515","2,271","1,716","1,502","1,536",878,606,"31,951"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3828,1,Martvili,მარტვილის,municipaliteti,municipality,33408,1,881,37.9,"33,408","10,571",3,"1,847","1,638","1,635","1,798","1,699","1,927","1,955","2,038","2,215","2,353","2,691","2,511","2,446","1,673","1,709","1,665",959,704,"33,463",949,861,861,991,958,"1,107","1,056","1,032","1,186","1,218","1,287","1,195","1,132",731,713,620,331,205,"16,433",898,777,774,807,741,820,899,"1,006","1,029","1,135","1,404","1,316","1,314",942,996,"1,045",628,499,"17,030"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3830,1,Mestia,მესტიის,municipaliteti,municipality,9316,0.3,3044,3.1,"9,316","2,726",3,727,599,637,665,555,612,557,566,591,644,594,495,452,427,367,377,234,217,"9,316",390,324,333,370,336,339,290,293,304,326,293,239,195,193,131,137,84,65,"4,642",337,275,304,295,219,273,267,273,287,318,301,256,257,234,236,240,150,152,"4,674"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3832,1,Senaki,სენაკის,municipaliteti,municipality,39641,1.2,520.7,76.1,"39,641","12,745",3,"2,303","2,118","2,043","2,022","1,951","2,515","2,472","2,713","2,577","2,689","3,103","2,956","2,967","2,053","1,750","1,844",960,616,"39,652","1,196","1,125","1,041","1,053","1,046","1,293","1,296","1,364","1,286","1,312","1,494","1,323","1,303",875,645,630,286,136,"18,704","1,107",993,"1,002",969,905,"1,222","1,176","1,349","1,291","1,377","1,609","1,633","1,664","1,178","1,105","1,214",674,480,"20,948"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3834,1,Chkhorotsku,ჩხოროწყუს ,municipaliteti,municipality,22309,0.7,619.4,36,"22,309","6,936",3,"1,356","1,179","1,169","1,163","1,090","1,337","1,262","1,449","1,441","1,524","1,779","1,802","1,562","1,065","1,052","1,062",611,406,"22,309",708,636,611,622,619,741,659,741,766,751,893,883,733,497,420,429,209,119,"11,037",648,543,558,541,471,596,603,708,675,773,886,919,829,568,632,633,402,287,"11,272"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3836,1,Tsalenjikha,წალენჯიხის ,municipaliteti,municipality,26158,0.8,6467,4,"26,158","8,123",3,"1,501","1,490","1,297","1,322","1,362","1,634","1,558","1,745","1,665","1,823","2,075","2,103","1,822","1,332","1,095","1,139",697,498,"26,158",784,804,707,700,769,872,852,914,869,888,977,981,848,553,445,383,216,115,"12,677",717,686,590,622,593,762,706,831,796,935,"1,098","1,122",974,779,650,756,481,383,"13,481"
GE,Georgia,საქართველო,GE38,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE3838,1,Khobi,ხობის,municipaliteti,municipality,30548,0.9,659.2,46.3,"30,548","9,081",3,"1,835","1,664","1,519","1,669","1,704","1,972","1,876","1,967","1,977","2,140","2,472","2,328","2,166","1,537","1,276","1,363",648,435,"30,548",943,908,819,889,950,"1,088",974,994,"1,021","1,058","1,197","1,087","1,014",691,515,526,224,111,"15,009",892,756,700,780,754,884,902,973,956,"1,082","1,275","1,241","1,152",846,761,837,424,324,"15,539"
GE,Georgia,საქართველო,GE41,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE4123,1,Adigeni,ადიგენის,municipaliteti,municipality,16429,0.5,799.6,20.5,"16,429","4,651",4,"1,147",974,991,"1,073","1,057","1,217","1,066",962,950,"1,037","1,282","1,180","1,000",702,530,700,386,208,"16,462",583,542,517,549,589,634,555,492,503,532,614,547,481,322,214,322,155,71,"8,222",564,432,474,524,468,583,511,470,447,505,668,633,519,380,316,378,231,137,"8,240"
GE,Georgia,საქართველო,GE41,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE4125,1,Aspindza,ასპინძის,municipaliteti,municipality,10347,0.3,825,12.5,"10,347","2,876",4,760,615,655,708,719,786,609,564,630,674,822,683,512,363,347,448,313,164,"10,372",399,324,363,358,375,403,315,264,333,334,411,336,248,171,143,185,135,52,"5,149",361,291,292,350,344,383,294,300,297,340,411,347,264,192,204,263,178,112,"5,223"
GE,Georgia,საქართველო,GE41,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE4127,1,Akhalkalaki,ახალქალაქის ,municipaliteti,municipality,45070,1.4,1235,36.5,"45,070","11,092",4,"3,255","3,179","2,773","3,091","3,392","4,054","3,303","2,530","2,442","2,655","3,490","3,215","2,080","1,322","1,186","1,606","1,003",494,"45,070","1,754","1,776","1,568","1,655","1,740","2,061","1,683","1,186","1,210","1,230","1,663","1,502",943,586,483,588,352,163,"22,143","1,501","1,403","1,205","1,436","1,652","1,993","1,620","1,344","1,232","1,425","1,827","1,713","1,137",736,703,"1,018",651,331,"22,927"
GE,Georgia,საქართველო,GE41,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE4129,1,Akhaltsikhe,ახალციხის,municipaliteti,municipality,20940,0.6,1010,20.7,"20,940","6,223",3,"1,239","1,163","1,132","1,314","1,441","1,478","1,235","1,118","1,132","1,367","1,602","1,556","1,256",846,863,"1,112",708,430,"20,992",633,638,600,707,806,748,635,567,546,688,786,726,588,356,386,427,301,153,"10,291",606,525,532,607,635,730,600,551,586,679,816,830,668,490,477,685,407,277,"10,701"
GE,Georgia,საქართველო,GE41,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE4131,1,Borjomi,ბორჯომის,municipaliteti,municipality,25194,0.8,1189,21.2,"25,194","7,936",3,"1,514","1,494","1,457","1,379","1,398","1,630","1,633","1,663","1,668","1,653","2,024","1,821","1,691","1,151",949,"1,084",610,395,"25,214",787,769,741,753,779,848,828,810,852,793,989,800,714,509,335,371,225,127,"12,030",727,725,716,626,619,782,805,853,816,860,"1,035","1,021",977,642,614,713,385,268,"13,184"
