ADM0_PCODE,ADM0_EN,ADM0_KA,ADM1_PCODE,ADM1_EN,ADM1_KA,ADM2_PCODE,,ADM2_EN,ADM2_KA,ADM2TYPE_KA,ADM2TYPE_EN,POP_FINAL,PART,SIZE_KMSQ,DENSITY,HOPUSE_POP,HOPUSE_QTY,AVER_SIZE,POP_0_4,POP_5_9,POP_10_14,POP_15_19,POP_20_24,POP_25_29,POP_30_34,POP_35_39,POP_40_44,POP_45_49,POP_50_54,POP_55_59,POP_60_64,POP_65_69,POP_70_74,POP_75_79,POP_80_84,POP_85_MOR,POP_Total,M_0_4,M_5_9,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_MORE,M_Total,F_0_4,F_5_9,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_MORE,F_Total
GE,Georgia,საქართველო,GE47,Shida Kartli,შიდა ქართლი,GE4728,1,Kareli,ქარელის,municipaliteti,municipality,41194,1.3,687.9,59.9,"41,194","12,533",3,"2,870","2,408","2,396","2,493","2,683","2,660","2,569","2,716","2,817","2,828","3,242","2,873","2,392","1,746","1,585","1,663",937,438,"41,316","1,513","1,255","1,251","1,386","1,424","1,352","1,250","1,396","1,386","1,435","1,650","1,358","1,113",769,670,685,365,152,"20,410","1,357","1,153","1,145","1,107","1,259","1,308","1,319","1,320","1,431","1,393","1,592","1,515","1,279",977,915,978,572,286,"20,906"
GE,Georgia,საქართველო,GE47,Shida Kartli,შიდა ქართლი,GE4731,1,Khashuri,ხაშურის,municipaliteti,municipality,52476,1.6,582,90.2,"52,476","15,592",3,"3,442","3,239","3,074","2,975","3,096","3,562","3,436","3,513","3,607","3,511","4,074","3,863","3,249","2,384","1,843","2,044","1,085",606,"52,603","1,809","1,697","1,665","1,589","1,701","1,848","1,682","1,732","1,788","1,751","1,952","1,760","1,443","1,010",759,773,385,175,"25,519","1,633","1,542","1,409","1,386","1,395","1,714","1,754","1,781","1,819","1,760","2,122","2,103","1,806","1,374","1,084","1,271",700,431,"27,084"
,,,,South Ossetia,,,,Akhalgori,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abkhazia,,,,Gagra,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abkhazia,,,,Gali,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abkhazia,,,,Gudauta,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abkhazia,,,,Gulripshi,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,South Ossetia,,,,Java,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abkhazia,,,,Ochamchire,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abkhazia,,,,Sokhumi,,,autonomous region,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-,,,,Tbilisi,,,city,1171000,35.7,504.2,2322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
